State,County,2012_AQI,2013_AQI,2014_AQI,2015_AQI,2016_AQI,2017_AQI,2018_AQI,2019_AQI,2020_AQI,2021_AQI,Year,2022_AQI
Alabama,Baldwin,38,36,38,38,37,36,35,37,36,35,2022,37
Alabama,Clay,35,32,36,32,30,30,27,30,26,27,2022,26
Alabama,DeKalb,40,38,38,37,40,39,35,39,36,36,2022,37
Alabama,Elmore,40,36,36,35,40,35,33,39,31,32,2022,33
Alabama,Etowah,40,37,38,46,52,45,41,43,34,36,2022,39
Alabama,Jefferson,52,50,53,48,49,51,50,53,48,51,2022,49
Alabama,Lawrence,28,27,27,27,25,23,23,24,18,21,2022,22
Alabama,Madison,43,40,39,38,40,39,41,44,40,41,2022,40
Alabama,Mobile,38,39,41,40,42,37,38,43,42,44,2022,37
Alabama,Montgomery,43,39,40,45,42,45,52,52,52,37,2022,37
Alabama,Morgan,42,40,39,38,40,39,37,41,35,39,2022,40
Alabama,Russell,44,41,40,47,43,44,39,40,36,38,2022,40
Alabama,Shelby,43,39,40,39,41,38,38,42,34,35,2022,37
Alabama,Tuscaloosa,36,36,36,49,47,52,37,35,31,31,2022,34
Alaska,Aleutians East ,10,9,9,10,8,9,10,10,8,10,2022,9
Alaska,Anchorage ,31,24,28,28,31,22,24,27,22,22,2022,19
Alaska,Denali ,32,32,31,34,33,34,35,36,33,33,2022,34
Alaska,Fairbanks North Star ,38,44,52,54,37,38,34,38,33,35,2022,38
Alaska,Juneau ,21,19,24,21,20,15,23,20,14,15,2022,15
Alaska,Kenai Peninsula ,9,7,9,5,7,6,8,8,8,7,2022,7
Alaska,Matanuska-Susitna ,31,22,30,29,33,30,27,19,13,12,2022,10
Arizona,Apache,17,12,14,11,13,14,12,10,14,14,2022,11
Arizona,Cochise,48,48,47,44,44,44,44,45,45,45,2022,44
Arizona,Coconino,46,46,44,44,44,45,45,45,44,45,2022,44
Arizona,Gila,54,49,45,43,44,44,47,48,44,45,2022,45
Arizona,La Paz,49,48,44,42,41,43,44,44,44,45,2022,44
Arizona,Maricopa,70,67,67,64,64,71,71,65,112,122,2022,74
Arizona,Mohave,19,18,18,17,18,17,18,14,18,19,2022,17
Arizona,Navajo,45,46,44,39,43,44,44,44,43,44,2022,43
Arizona,Pima,51,49,48,45,49,53,49,47,53,53,2022,50
Arizona,Pinal,75,69,71,63,69,75,67,63,72,69,2022,61
Arizona,Santa Cruz,41,36,34,30,38,33,31,31,34,43,2022,34
Arizona,Yavapai,45,44,44,41,40,46,43,43,45,44,2022,40
Arizona,Yuma,46,44,47,43,46,45,45,45,44,46,2022,44
Arkansas,Arkansas,41,35,34,34,33,30,33,30,27,30,2022,30
Arkansas,Ashley,39,33,33,31,34,33,29,33,28,31,2022,29
Arkansas,Clark,35,33,33,33,34,34,31,32,29,32,2022,35
Arkansas,Crittenden,41,38,37,36,39,42,40,40,38,40,2022,40
Arkansas,Garland,43,36,35,34,36,34,31,38,29,34,2022,33
Arkansas,Jackson,36,35,34,31,30,30,31,34,26,29,2022,30
Arkansas,Newton,42,37,36,35,37,38,35,36,35,36,2022,37
Arkansas,Polk,44,42,38,38,40,40,38,39,36,38,2022,33
Arkansas,Pulaski,53,49,44,44,44,44,43,45,42,47,2022,43
Arkansas,Union,45,35,35,33,35,39,37,35,34,36,2022,35
Arkansas,Washington,43,42,39,37,38,44,42,43,39,41,2022,43
California,Alameda,41,50,43,46,44,49,51,41,43,45,2022,41
California,Amador,40,38,42,41,37,38,40,39,37,37,2022,36
California,Butte,53,54,52,52,52,57,54,46,51,48,2022,46
California,Calaveras,44,45,44,45,44,51,53,42,44,44,2022,39
California,Colusa,49,41,44,46,43,40,42,39,38,46,2022,41
California,Contra Costa,39,46,45,44,40,46,48,40,41,42,2022,43
California,Del Norte,10,13,12,15,20,20,25,20,32,23,2022,22
California,El Dorado,45,45,45,44,45,45,45,43,43,43,2022,43
California,Fresno,80,87,81,80,74,74,74,60,74,67,2022,71
California,Glenn,43,44,41,44,43,43,36,40,43,39,2022,41
California,Humboldt,36,35,43,36,35,35,34,27,29,28,2022,24
California,Imperial,52,56,67,63,60,61,62,58,58,58,2022,58
California,Inyo,48,46,47,48,44,48,48,47,52,58,2022,57
California,Kern,84,89,97,84,80,84,84,67,81,84,2022,80
California,Kings,66,77,71,71,70,70,69,56,67,61,2022,67
California,Lake,35,33,37,36,33,35,33,31,32,33,2022,32
California,Los Angeles,84,77,80,79,75,77,77,71,83,77,2022,72
California,Madera,64,71,67,63,59,58,56,50,61,56,2022,51
California,Marin,35,40,43,36,32,38,36,33,33,34,2022,33
California,Mariposa,54,51,49,46,46,49,50,47,47,47,2022,46
California,Mendocino,33,28,38,38,33,39,37,33,34,38,2022,45
California,Merced,53,58,60,58,53,54,51,48,53,50,2022,52
California,Mono,17,19,15,14,18,18,23,27,40,21,2022,21
California,Monterey,37,38,37,37,36,39,38,37,36,37,2022,37
California,Nevada,42,48,46,47,44,49,44,44,41,45,2022,48
