"State","Year","avg_pollute_days","avg_median_aqi","avg_days_co","avg_days_pm25"
"Alabama",2022,"0.267","36.067","0.000","139.067"
"Alaska",2022,"6.125","17.125","0.875","165.875"
"Arizona",2022,"13.385","42.385","0.000","36.077"
"Arkansas",2022,"1.000","35.273","0.000","103.818"
"California",2022,"21.346","46.212","0.058","118.404"
"Colorado",2022,"4.679","36.107","0.000","28.429"
"Connecticut",2022,"6.000","38.625","0.000","71.625"
"Country Of Mexico",2022,"26.000","54.500","0.000","165.500"
"Delaware",2022,"0.000","40.667","0.333","49.333"
"District Of Columbia",2022,"4.000","42.000","0.000","130.000"
"Florida",2022,"0.184","36.711","0.000","110.000"
"Georgia",2022,"0.828","36.517","0.034","175.138"
"Hawaii",2022,"0.000","19.250","0.000","215.750"
"Idaho",2022,"6.421","27.737","0.000","287.421"
"Illinois",2022,"2.130","40.043","0.000","130.391"
"Indiana",2022,"1.818","36.727","0.000","102.697"
"Iowa",2022,"0.188","34.375","0.000","164.500"
"Kansas",2022,"1.727","35.364","0.091","92.182"
"Kentucky",2022,"0.808","38.923","0.115","94.000"
"Louisiana",2022,"1.273","36.227","0.091","112.500"
"Maine",2022,"0.545","32.818","0.000","63.364"
"Maryland",2022,"0.500","38.938","0.125","75.125"
"Massachusetts",2022,"0.923","37.000","0.000","89.923"
"Michigan",2022,"2.815","36.111","0.000","102.111"
"Minnesota",2022,"0.190","30.286","0.000","157.905"
"Mississippi",2022,"1.000","38.300","0.000","157.100"
"Missouri",2022,"1.286","38.524","0.000","83.381"
"Montana",2022,"3.650","26.600","0.000","171.300"
"Nebraska",2022,"0.100","23.300","0.000","178.800"
"Nevada",2022,"7.111","36.667","0.000","68.667"
"New Hampshire",2022,"0.286","35.714","0.286","54.000"
"New Jersey",2022,"1.000","38.188","0.188","95.813"
"New Mexico",2022,"7.375","31.813","0.000","72.313"
"New York",2022,"0.963","34.593","0.000","97.000"
"North Carolina",2022,"0.371","37.371","0.000","106.914"
"North Dakota",2022,"0.111","35.444","0.000","94.333"
"Ohio",2022,"1.718","36.974","0.077","94.128"
"Oklahoma",2022,"3.952","41.048","0.048","110.619"
"Oregon",2022,"5.435","27.217","0.000","281.435"
"Pennsylvania",2022,"1.175","38.850","0.150","143.775"
"Puerto Rico",2022,"0.875","19.125","38.750","108.000"
"Rhode Island",2022,"1.667","34.333","0.000","133.000"
"South Carolina",2022,"0.071","37.500","0.000","122.786"
"South Dakota",2022,"0.600","32.200","0.000","91.200"
"Tennessee",2022,"0.913","34.870","0.000","178.304"
"Texas",2022,"5.489","37.333","0.067","134.356"
"Utah",2022,"3.933","41.533","0.000","50.800"
"Vermont",2022,"0.000","29.000","0.000","83.750"
"Virgin Islands",2022,"0.000","18.500","0.000","73.000"
"Virginia",2022,"0.129","31.258","0.226","64.032"
"Washington",2022,"5.935","26.129","0.000","277.419"
"West Virginia",2022,"0.071","33.357","0.071","87.429"
"Wisconsin",2022,"1.862","36.103","0.000","118.172"
"Wyoming",2022,"1.833","35.833","0.056","29.833"
